name,propername,code,count,description,url,type
acma,African Coastal and Marine Atlas catalogue (ACMA),0,218,VALID acma : https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-acma/sitemap.xml with 1 sitemap URL(s),https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-acma/sitemap.xml,sitemap
africaioc,IOC Africa Data Portal,0,352,VALID africaioc : https://ioc-africa.org/sitemap.xml with 5 sitemap URL(s),https://ioc-africa.org/sitemap.xml,sitemap
aquadocs,AquaDocs,0,0,aquadocs 	 https://oih.aquadocs.org/aquadocs.json Sitegraph URL code is 200 ,https://oih.aquadocs.org/aquadocs.json,sitegraph
bebop,Better Biomolecular Ocean Practices (BeBOP) as part of Ocean Biomolecular Observing Network (OBON),0,3,VALID bebop : https://raw.githubusercontent.com/BeBOP-OBON/odis-interface/main/sitemap.xml with 1 sitemap URL(s),https://raw.githubusercontent.com/BeBOP-OBON/odis-interface/main/sitemap.xml,sitemap
benguelacc,Benguela Current Convention (BCC) GeoData Portal,0,0,benguelacc 	 https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-benguelacc/benguelacc-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-benguelacc/benguelacc-simple-graph.json,sitegraph
bmdc,Belgian Marine Data Centre (BMDC),0,231,VALID bmdc : https://metadata.naturalsciences.be/geonetwork/srv/api/sitemap with 1 sitemap URL(s),https://metadata.naturalsciences.be/geonetwork/srv/api/sitemap,sitemap
bodc,British Oceanographic Data Centre (BODC),0,1525,VALID bodc : https://api.linked-systems.uk/sitemap_pap_api.xml with 1 sitemap URL(s),https://api.linked-systems.uk/sitemap_pap_api.xml,sitemap
caribbeanmarineatlas,Caribbean Marine Atlas catalogue,0,0,caribbeanmarineatlas 	 https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json,sitegraph
cclme,Canary Current Large Marine Ecosystem (CCLME),0,11,VALID cclme : http://www.ideo-cclme.ieo.es/odis/odis_sitemap.xml with 1 sitemap URL(s),http://www.ideo-cclme.ieo.es/odis/odis_sitemap.xml,sitemap
cioos,Canadian Integrated Ocean Observing System (CIOOS),0,2528,VALID cioos : https://catalogue.cioos.ca/sitemap/sitemap.xml with 1 sitemap URL(s),https://catalogue.cioos.ca/sitemap/sitemap.xml,sitemap
edmerp,European Directory of Marine Environmental Research Projects (EDMERP) SeaDataNet,0,3504,VALID edmerp : https://edmerp.seadatanet.org/sitemap.xml with 1 sitemap URL(s),https://edmerp.seadatanet.org/sitemap.xml,sitemap
edmo,European Directory of Marine Organisations (EDMO) SeaDataNet,0,4946,VALID edmo : https://edmo.seadatanet.org/sitemap.xml with 1 sitemap URL(s),https://edmo.seadatanet.org/sitemap.xml,sitemap
euroceanorgs,EurOcean Organizations,0,7651,VALID euroceanorgs : https://infohub.eurocean.net/sitemap/organizations with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/organizations,sitemap
euroceanprojects,EurOcean Projects,0,635,VALID euroceanprojects : https://infohub.eurocean.net/sitemap/projects with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/projects,sitemap
euroceanvessels,EurOcean Vessels,0,85,VALID euroceanvessels : https://infohub.eurocean.net/sitemap/vessels with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/vessels,sitemap
emodnet,European Marine Observation and Data Network (EMODnet),0,6099,VALID emodnet : https://emodnet.ec.europa.eu/geonetwork/srv/eng/portal.sitemap with 3 sitemap URL(s),https://emodnet.ec.europa.eu/geonetwork/srv/eng/portal.sitemap,sitemap
gbif,Global Biodiversity Information Facility (GBIF),0,100001,VALID gbif : https://www.gbif.org/sitemap-dataset.xml with 105 sitemap URL(s),https://www.gbif.org/sitemap-dataset.xml,sitemap
inanodc,Indonesia National Oceanic Data Center,0,33,VALID inanodc : https://geonode.nodc.id/sitemap.xml with 1 sitemap URL(s),https://geonode.nodc.id/sitemap.xml,sitemap
invemardocuments,Latin America and the Caribbean Region (LAC) Documents,0,0,invemardocuments 	 https://portete.invemar.org.co/chm/api/oih/documents?format=json Sitegraph URL code is 405 ,https://portete.invemar.org.co/chm/api/oih/documents?format=json,sitegraph
invemarexperts,Latin America and the Caribbean Region (LAC) Experts,0,0,invemarexperts 	 https://portete.invemar.org.co/chm/api/oih/expert?format=json Sitegraph URL code is 405 ,https://portete.invemar.org.co/chm/api/oih/expert?format=json,sitegraph
invemarinstitutions,Latin America and the Caribbean Region (LAC) Institutions,0,0,invemarinstitutions 	 https://portete.invemar.org.co/chm/api/oih/institution?format=json Sitegraph URL code is 405 ,https://portete.invemar.org.co/chm/api/oih/institution?format=json,sitegraph
invemartraining,Latin America and the Caribbean Region (LAC) Training,0,0,invemartraining 	 https://portete.invemar.org.co/chm/api/oih/training?format=json Sitegraph URL code is 405 ,https://portete.invemar.org.co/chm/api/oih/training?format=json,sitegraph
invemarvessels,Latin America and the Caribbean Region (LAC) Vessels,0,0,invemarvessels 	 https://portete.invemar.org.co/chm/api/oih/vessel?format=json Sitegraph URL code is 405 ,https://portete.invemar.org.co/chm/api/oih/vessel?format=json,sitegraph
marinetraining,Marine Training EU,1,0,"ERROR making request, no further information at this time",https://www.marinetraining.eu/sitemap.xml,sitemap
maspawio,Marine Spatial Atlas for the Western Indian Ocean (MASPAWIO),0,0,maspawio 	 https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-maspawio/maspawio-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-maspawio/maspawio-simple-graph.json,sitegraph
medin,Marine Environmental Data and Information Network (MEDIN),0,17959,VALID medin : https://portal.medin.org.uk/portal/sitemap.php with 1 sitemap URL(s),https://portal.medin.org.uk/portal/sitemap.php,sitemap
metsrcn,Research Coordination Network for Marine Ecological Time Series (METS-RCN),0,12,VALID metsrcn : https://raw.githubusercontent.com/NicoGEOMAR/METS-RCN/main/sitemap.xml with 1 sitemap URL(s),https://raw.githubusercontent.com/NicoGEOMAR/METS-RCN/main/sitemap.xml,sitemap
nmdis,National Marine Data and Information Service (NMDIS),0,222,VALID nmdis : http://222.186.3.18:8888/erddap/sitemap.xml with 1 sitemap URL(s),http://222.186.3.18:8888/erddap/sitemap.xml,sitemap
obis,Ocean Biodiversity Information System (OBIS),0,4780,VALID obis : https://obis-sitemaps.s3.amazonaws.com/sitemap_datasets.xml with 1 sitemap URL(s),https://obis-sitemaps.s3.amazonaws.com/sitemap_datasets.xml,sitemap
obps,Ocean Best Practices System (OBPS),0,0,obps 	 https://oih.oceanbestpractices.org/obps.json Sitegraph URL code is 200 ,https://oih.oceanbestpractices.org/obps.json,sitegraph
oceanexpert,OceanExpert UNESCO/IOC Project Office for IODE,0,40276,VALID oceanexpert : https://oceanexpert.org/assets/sitemaps/sitemapIndex.xml with 4 sitemap URL(s),https://oceanexpert.org/assets/sitemaps/sitemapIndex.xml,sitemap
oceanscape,Oceanscape Project,0,117,VALID oceanscape : https://oceanscape.org/organisation-sitemap.xml with 1 sitemap URL(s),https://oceanscape.org/organisation-sitemap.xml,sitemap
odiscat,ODIS Catalogue (ODISCat),0,3068,VALID odiscat : https://stag.catalogue.odis.org/sitemapIndex.xml with 1 sitemap URL(s),https://stag.catalogue.odis.org/sitemapIndex.xml,sitemap
osmc,Observing System Monitoring Center (OSMC),0,1930,VALID osmc : https://osmc.noaa.gov/erddap/sitemap.xml with 1 sitemap URL(s),https://osmc.noaa.gov/erddap/sitemap.xml,sitemap
pdh,Pacific Data Hub (PDH),0,12903,VALID pdh : https://pacificdata.org/organization/sitemap.xml with 69 sitemap URL(s),https://pacificdata.org/organization/sitemap.xml,sitemap
pedp,Pacific Environment Data Portal (PEDP),0,1585,VALID pedp : https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-pedp/sitemap.xml with 15 sitemap URL(s),https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-pedp/sitemap.xml,sitemap
rda,Research Data Australia (RDA),0,16805,"VALID rda : https://researchdata.edu.au/home/sitemap/?ds=384,393,16 with 1 sitemap URL(s)","https://researchdata.edu.au/home/sitemap/?ds=384,393,16",sitemap
wod,World Ocean Database (WOD),0,535,VALID wod : https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-wod/sitemap.xml with 1 sitemap URL(s),https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-wod/sitemap.xml,sitemap
zmt,Leibniz Center for Tropical Marine Research (ZMT),0,201,VALID zmt : https://dataportal.leibniz-zmt.de/sitemap.xml with 1 sitemap URL(s),https://dataportal.leibniz-zmt.de/sitemap.xml,sitemap
